abell_id,ra,dec,richness_class,distance_class,bm_type,redshift
Abell 1111,259.08,13.02,0,3,III,0.1750
Abell 1112,240.38,81.15,0,5,I-II,0.0333
Abell 1113,258.76,56.64,1,4,II,0.3460
Abell 1114,10.96,78.99,1,6,,
Abell 1115,279.47,17.06,0,5,,0.2421
Abell 1116,8.79,-14.06,1,,,
Abell 1117,204.21,35.63,1,5,I,0.2295
Abell 1118,188.09,79.83,0,6,I-II,0.2923
Abell 1119,236.66,-12.72,0,4,I,
Abell 1120,255.39,73.78,4,5,I-II,0.3026
Abell 1121,130.51,42.06,0,4,,0.1992
Abell 1122,8.61,5.18,0,5,II,0.3346
Abell 1123,285.53,62.22,0,5,I,0.3084
Abell 1124,75.38,81.36,1,5,I,0.2075
Abell 1125,244.67,47.38,0,,,0.2253
Abell 1126,198.65,43.00,0,6,II,0.3026
Abell 1127,307.01,-15.39,0,1,III,0.1191
Abell 1128,197.98,63.59,0,6,I-II,
Abell 1129,289.84,-8.82,0,5,I,0.3268
Abell 1130,295.39,8.98,1,7,I,
Abell 1131,71.15,-1.42,1,4,III,0.2606
Abell 1132,59.27,-7.54,1,,,0.2093
Abell 1133,307.22,5.17,1,2,II,
Abell 1134,68.02,27.34,0,6,II,
Abell 1135,220.38,-10.25,3,7,II-III,0.0493
Abell 1136,179.12,41.56,0,5,I,0.2403
Abell 1137,125.26,15.43,0,6,II,0.1795
Abell 1138,12.68,4.82,2,4,I-II,0.1546
Abell 1139,269.27,46.84,1,5,,0.3017
Abell 1140,325.76,-14.43,0,6,,0.1049
Abell 1141,279.33,58.06,0,6,II,0.2132
Abell 1142,331.47,76.12,2,3,I-II,0.3298
Abell 1143,194.59,88.06,2,6,I-II,
Abell 1144,274.82,-19.87,0,6,,0.0266
Abell 1145,259.75,50.64,2,6,I,0.0640
Abell 1146,157.61,68.12,0,5,III,0.0545
Abell 1147,109.19,85.54,3,3,III,0.0869
Abell 1148,12.23,-17.80,2,3,III,0.0287
Abell 1149,160.07,75.81,0,4,II,0.0803
Abell 1150,68.80,13.19,0,6,II-III,0.0977
Abell 1151,192.98,9.00,4,2,I-II,0.0135
Abell 1152,309.32,66.55,1,6,I-II,0.1592
Abell 1153,184.42,-8.12,0,,II,0.2739
Abell 1154,131.99,-12.58,2,5,I-II,0.1032
Abell 1155,194.67,10.27,0,,II-III,0.2776
Abell 1156,290.15,-25.52,0,4,II,0.0996
Abell 1157,90.18,25.10,3,6,I,0.1269
Abell 1158,311.39,55.82,1,5,I,0.1284
Abell 1159,280.14,60.59,0,5,,0.2738
Abell 1160,198.36,44.18,5,5,II,0.0196
Abell 1161,4.19,-17.84,0,4,I,0.3436
Abell 1162,23.39,10.97,1,5,III,0.2908
Abell 1163,322.88,-16.02,2,4,II,
Abell 1164,311.57,-21.72,3,6,II,0.1648
Abell 1165,347.76,49.29,0,5,II,0.2247
Abell 1166,355.63,20.54,0,7,I,0.0179
Abell 1167,8.22,85.37,1,5,II,
Abell 1168,83.12,29.86,2,6,II-III,
Abell 1169,352.05,67.61,1,5,I,0.1040
Abell 1170,305.63,-0.46,0,3,II,0.1135
Abell 1171,107.89,35.02,1,5,II-III,
Abell 1172,321.59,30.07,0,,,0.3047
Abell 1173,50.48,54.71,1,6,III,0.0805
Abell 1174,291.19,1.57,0,6,I-II,0.0260
Abell 1175,299.57,14.79,0,5,I-II,
Abell 1176,265.21,47.17,0,6,I,0.1286
Abell 1177,75.84,-26.26,2,3,I,0.2949
Abell 1178,321.97,32.38,3,5,III,0.1662
Abell 1179,5.59,27.29,0,6,II,0.0753
Abell 1180,61.29,-22.65,1,,II,0.3279
Abell 1181,274.11,28.86,1,5,II-III,0.1814
Abell 1182,311.61,16.24,1,6,,0.1030
Abell 1183,259.59,59.43,3,7,III,0.0245
Abell 1184,205.76,59.78,0,5,II,0.1731
Abell 1185,167.70,28.69,1,5,I-II,0.0340
Abell 1186,247.98,-26.12,1,5,III,0.2557
Abell 1187,340.12,84.79,1,7,II-III,0.3009
Abell 1188,308.82,13.30,1,6,I,0.3491
Abell 1189,205.73,68.28,4,5,II,0.0441
Abell 1190,202.50,60.78,0,6,II,0.3267
Abell 1191,303.53,69.98,1,6,I,0.1816
Abell 1192,9.17,86.11,1,6,,0.2803
Abell 1193,76.08,5.25,2,4,II-III,
Abell 1194,298.02,1.09,1,5,,
Abell 1195,347.67,6.72,2,6,I-II,0.2353
Abell 1196,165.47,-13.56,0,6,II-III,0.2494
Abell 1197,36.05,-6.71,0,3,I-II,0.3260
Abell 1198,260.79,49.23,2,,I,
Abell 1199,56.61,82.43,0,2,I,0.0823
Abell 1200,305.45,51.08,0,4,,0.2557
Abell 1201,197.11,34.81,3,3,II-III,0.2869
Abell 1202,251.22,-5.09,0,6,III,0.2548
Abell 1203,190.50,41.18,1,5,II-III,0.1216
Abell 1204,212.54,23.25,3,2,I,0.0522
Abell 1205,277.50,70.90,3,7,II,0.2739
Abell 1206,296.68,-21.92,0,5,III,0.3013
Abell 1207,107.29,25.30,1,4,I-II,0.3073
Abell 1208,357.72,25.48,1,7,II-III,0.2357
Abell 1209,158.32,31.65,1,6,II,0.3001
Abell 1210,103.34,-11.67,0,6,I-II,0.0239
Abell 1211,107.36,11.72,0,4,II,0.0650
Abell 1212,245.10,78.11,1,6,,0.1974
Abell 1213,169.10,29.24,0,5,I,0.0469
Abell 1214,285.01,25.13,0,6,II,0.2483
Abell 1215,45.16,-7.41,1,,I,0.3451
Abell 1216,20.86,2.84,1,5,III,0.3033
Abell 1217,279.13,89.03,0,7,II-III,0.0182
Abell 1218,28.73,53.21,2,7,II,0.0556
Abell 1219,53.70,-16.39,1,6,I,0.1929
Abell 1220,33.13,84.37,1,3,III,0.0161
Abell 1221,196.35,29.98,0,6,I-II,0.0468
Abell 1222,245.97,46.59,0,6,,0.3377
Abell 1223,212.03,8.83,1,5,I-II,
Abell 1224,147.21,-3.18,0,7,II,
Abell 1225,156.49,-20.62,1,2,II,0.0430
Abell 1226,13.26,-11.82,0,,II,0.2533
Abell 1227,73.32,24.80,2,,III,0.3407
Abell 1228,170.35,34.32,1,5,I-II,0.0350
Abell 1229,322.19,53.90,0,,,0.0140
Abell 1230,110.67,29.70,1,6,I,0.1646
Abell 1231,208.85,13.41,0,4,I,0.1006
Abell 1232,190.08,-14.91,0,4,III,0.3071
Abell 1233,225.58,80.18,2,,I-II,0.1899
Abell 1234,55.56,49.22,0,7,II,0.3234
Abell 1235,284.72,1.61,0,6,III,0.0973
Abell 1236,335.49,6.17,0,5,,0.2003
Abell 1237,192.94,-26.82,1,5,II-III,0.3217
Abell 1238,244.49,75.59,1,6,I,0.2792
Abell 1239,284.80,16.03,0,4,II,0.2103
Abell 1240,21.63,76.62,1,6,I,0.2372
Abell 1241,310.67,13.33,1,4,III,0.2936
Abell 1242,174.70,65.39,2,7,II,
Abell 1243,259.63,70.54,1,4,I-II,
Abell 1244,14.28,-22.98,1,6,I,0.1845
Abell 1245,224.51,-0.18,0,6,II-III,0.1160
Abell 1246,266.91,20.04,1,3,II,0.0951
Abell 1247,300.53,85.85,0,,I,0.1400
Abell 1248,314.98,-3.41,2,5,I-II,0.1184
Abell 1249,157.74,16.08,2,2,II,
Abell 1250,34.67,-7.55,0,5,I,0.0288
Abell 1251,287.33,-2.24,0,5,,0.0524
Abell 1252,261.31,60.28,1,4,I,0.2957
Abell 1253,97.98,41.92,1,5,II,0.1116
Abell 1254,269.25,38.69,0,6,II-III,0.3162
Abell 1255,151.23,-14.25,1,4,II,0.0735
Abell 1256,305.96,26.18,3,5,III,0.0625
Abell 1257,292.46,26.75,1,2,,0.0625
Abell 1258,60.72,89.08,0,5,II,0.2425
Abell 1259,128.78,-7.73,1,3,II,0.2614
Abell 1260,112.51,57.82,1,6,II,0.3350
Abell 1261,221.47,46.39,1,7,II,0.1282
Abell 1262,236.92,87.16,1,5,II-III,
Abell 1263,23.21,-0.15,0,4,I-II,0.1332
Abell 1264,142.62,62.83,0,5,II-III,0.1643
Abell 1265,86.25,64.15,0,5,I-II,0.2413
Abell 1266,309.05,35.04,2,3,I-II,0.1458
Abell 1267,315.61,58.80,2,5,II-III,0.2278
Abell 1268,136.38,22.15,1,2,I-II,
Abell 1269,277.68,87.52,1,5,I-II,0.2653
Abell 1270,57.25,-22.51,0,5,III,0.3142
Abell 1271,42.24,46.70,0,6,III,0.1144
Abell 1272,255.35,-14.26,0,4,II,0.0504
Abell 1273,5.70,35.00,0,6,II-III,0.2780
Abell 1274,162.58,37.58,0,6,I-II,0.0285
Abell 1275,17.89,-0.48,2,3,II,0.3312
Abell 1276,314.88,84.31,0,3,I,0.0806
Abell 1277,212.82,2.54,0,6,II,0.3073
Abell 1278,275.10,59.61,0,4,,0.1040
Abell 1279,143.73,70.95,0,4,I,
Abell 1280,232.79,67.73,0,6,I,0.2484
Abell 1281,100.68,41.33,3,5,II,0.1149
Abell 1282,238.60,46.45,3,3,,0.1132
Abell 1283,258.20,-20.74,0,3,,0.0523
Abell 1284,201.12,-16.39,3,3,II,
Abell 1285,120.79,-25.43,1,4,II-III,
Abell 1286,106.93,51.74,1,5,I-II,0.1561
Abell 1287,128.12,-4.76,1,4,II,
Abell 1288,91.08,20.54,1,6,II-III,0.3310
Abell 1289,260.62,22.37,0,,II,0.0565
Abell 1290,149.95,21.86,2,5,I-II,
Abell 1291,282.87,63.14,1,6,II,0.2646
Abell 1292,41.85,-15.49,1,2,II-III,0.2310
Abell 1293,90.85,0.51,1,4,,0.3113
Abell 1294,192.27,71.41,1,5,,
Abell 1295,96.35,70.64,0,,II-III,0.2734
Abell 1296,268.40,77.77,2,4,I,0.3389
Abell 1297,40.76,-7.49,0,3,I-II,0.1072
Abell 1298,327.27,42.76,1,5,III,0.0184
Abell 1299,234.91,-20.63,0,5,,0.1102
Abell 1300,81.72,5.87,0,6,III,0.0944
Abell 1301,312.14,48.86,0,4,,
Abell 1302,17.97,10.84,2,4,,0.2607
Abell 1303,2.22,-19.44,0,2,,0.3319
Abell 1304,127.68,28.88,0,5,I-II,0.0342
Abell 1305,99.54,-0.26,0,3,I,0.1780
Abell 1306,329.15,-24.69,0,6,III,0.0102
Abell 1307,117.78,-10.10,0,7,III,0.0166
Abell 1308,305.61,-7.52,3,5,II-III,0.2448
Abell 1309,128.18,61.58,0,3,I-II,0.1813
Abell 1310,181.12,73.62,3,7,II,0.1143
Abell 1311,163.67,68.86,1,7,II,0.1311
Abell 1312,21.84,51.24,1,6,I,0.2599
Abell 1313,291.84,-14.16,1,5,,0.1510
Abell 1314,173.71,49.08,0,5,III,0.0340
Abell 1315,308.96,72.15,0,1,,0.0368
Abell 1316,94.99,83.37,1,6,III,
Abell 1317,193.32,37.48,3,5,I,0.1484
Abell 1318,222.23,76.60,3,5,I,0.3494
Abell 1319,85.40,30.60,0,6,II-III,
Abell 1320,174.20,39.09,1,6,II,
Abell 1321,273.14,3.14,2,3,II,0.1470
Abell 1322,326.10,85.53,2,6,,0.3218
Abell 1323,242.14,8.39,0,6,II-III,
Abell 1324,259.18,54.74,1,2,I,0.2684
Abell 1325,250.68,24.85,1,6,II,0.0184
Abell 1326,215.77,39.58,1,6,,0.0802
Abell 1327,234.93,31.72,0,6,II,0.1092
Abell 1328,180.42,50.44,0,,II,0.0980
Abell 1329,237.00,-23.09,2,5,II,0.2307
Abell 1330,26.50,34.62,0,6,I-II,0.1664
Abell 1331,8.69,30.67,1,6,,0.2407
Abell 1332,242.59,72.81,0,4,II-III,0.2435
Abell 1333,66.66,9.52,0,5,I,0.0694
Abell 1334,341.47,36.27,1,4,III,0.0196
Abell 1335,18.85,-11.82,1,5,III,0.3051
Abell 1336,9.41,89.83,1,5,II-III,
Abell 1337,163.28,66.03,2,6,I-II,0.1772
Abell 1338,224.54,77.32,5,3,II,0.0262
Abell 1339,91.09,-3.05,1,2,II,0.0786
Abell 1340,318.81,-17.01,3,5,II,0.2653
Abell 1341,339.16,51.20,0,5,II-III,0.0171
Abell 1342,45.38,69.89,2,7,I-II,0.3008
Abell 1343,324.26,22.26,1,5,I,0.2553
Abell 1344,119.71,44.67,1,6,I-II,0.3388
Abell 1345,131.48,77.77,0,4,II,0.3167
Abell 1346,204.44,1.66,2,,I-II,0.1925
Abell 1347,38.98,3.61,1,7,III,0.1618
Abell 1348,346.34,35.92,0,,,0.1176
Abell 1349,164.06,88.20,1,5,,0.3273
Abell 1350,273.17,12.55,2,3,I-II,0.2546
Abell 1351,248.26,63.31,1,5,I,0.3349
Abell 1352,53.53,73.69,1,6,II-III,0.0208
Abell 1353,339.34,66.74,0,6,II-III,
Abell 1354,27.96,69.66,2,,III,0.0870
Abell 1355,180.09,-21.87,0,,II-III,0.1226
Abell 1356,359.33,31.55,1,5,II-III,0.3344
Abell 1357,276.82,47.07,0,6,I-II,0.3135
Abell 1358,112.54,63.90,0,4,II-III,0.1615
Abell 1359,29.31,1.28,1,5,II-III,0.2655
Abell 1360,244.52,-25.45,2,4,I,
Abell 1361,14.28,72.35,2,2,I-II,0.3290
Abell 1362,79.15,5.88,3,5,I-II,0.0845
Abell 1363,130.00,-22.49,3,6,III,0.3263
Abell 1364,264.84,52.13,1,2,II-III,0.0493
Abell 1365,303.60,-9.24,1,5,II,0.0880
Abell 1366,263.55,-5.45,1,4,II-III,0.2075
Abell 1367,176.20,19.84,2,2,II-III,0.0216
Abell 1368,172.57,54.17,0,7,III,0.2426
Abell 1369,288.15,74.12,1,7,II,0.0560
Abell 1370,351.35,82.66,2,4,,0.2899
Abell 1371,5.15,47.63,1,6,I-II,0.2529
Abell 1372,99.83,84.66,0,6,II-III,0.1333
Abell 1373,271.10,65.52,0,,I,0.0331
Abell 1374,48.75,1.99,2,5,III,
Abell 1375,77.87,-14.64,0,,III,0.1216
Abell 1376,38.39,60.06,1,4,,
Abell 1377,176.88,55.74,0,4,I-II,0.0514
Abell 1378,208.33,-15.19,0,5,III,0.1692
Abell 1379,333.81,-7.26,3,5,III,
Abell 1380,316.64,18.06,1,7,,0.2593
Abell 1381,342.10,-1.00,0,5,II-III,0.2165
Abell 1382,332.45,55.38,2,,III,0.0717
Abell 1383,251.11,3.42,3,6,,0.1469
Abell 1384,71.62,55.08,0,5,I-II,0.2419
Abell 1385,281.87,39.54,1,6,I,0.2432
Abell 1386,118.80,-5.85,1,6,I,0.0301
Abell 1387,41.28,29.92,1,5,I,
Abell 1388,162.79,53.64,1,5,II,0.3151
Abell 1389,155.98,44.67,3,4,I,0.1901
Abell 1390,105.38,20.09,3,2,III,0.0356
Abell 1391,337.10,44.56,1,6,III,0.2567
Abell 1392,295.03,25.22,2,6,I,0.2631
Abell 1393,251.25,82.42,2,7,II,
Abell 1394,21.90,33.09,0,4,II-III,0.0804
Abell 1395,244.06,63.95,0,7,I,0.0432
Abell 1396,120.54,55.60,2,4,II,0.1665
Abell 1397,216.86,-16.62,1,5,II-III,0.0805
Abell 1398,325.93,-13.30,2,6,II,0.0311
Abell 1399,149.81,77.53,1,2,I,0.2210
Abell 1400,304.19,29.48,0,6,I-II,0.0315
Abell 1401,153.13,-18.64,2,,II-III,0.0162
Abell 1402,269.45,16.39,2,1,II-III,0.2309
Abell 1403,151.72,81.45,0,6,,
Abell 1404,250.82,41.98,2,1,,0.3199
Abell 1405,63.22,-21.53,0,3,I,0.2591
Abell 1406,157.49,79.90,0,4,II-III,0.2609
Abell 1407,102.97,2.01,0,7,I-II,0.1935
Abell 1408,263.56,10.25,1,4,III,
Abell 1409,257.57,1.30,1,7,II,
Abell 1410,147.13,58.64,0,4,I,0.2367
Abell 1411,75.87,29.34,2,1,I-II,
Abell 1412,59.61,79.59,0,6,I,0.1908
Abell 1413,178.81,23.37,1,5,I-II,0.1427
Abell 1414,181.30,3.59,2,5,I-II,0.2011
Abell 1415,105.31,-23.30,2,5,,0.2592
Abell 1416,218.38,74.59,1,6,I-II,0.1591
Abell 1417,159.15,-21.61,3,6,III,0.1204
Abell 1418,267.58,46.36,0,5,I-II,0.0404
Abell 1419,257.90,67.22,1,3,I,0.0317
Abell 1420,344.39,45.58,1,5,III,0.1910
Abell 1421,208.37,33.72,0,4,II,0.1366
Abell 1422,159.28,20.79,0,4,II-III,
Abell 1423,326.93,79.06,0,3,III,0.3126
Abell 1424,179.37,5.09,0,4,II-III,0.0765
Abell 1425,153.05,6.31,0,5,,0.1819
Abell 1426,324.87,-8.18,1,5,III,0.2171
Abell 1427,304.19,24.35,1,6,II-III,
Abell 1428,291.78,21.72,0,7,I,0.1614
Abell 1429,38.96,74.35,1,7,I-II,
Abell 1430,84.26,63.48,0,7,,
Abell 1431,90.41,85.61,0,6,II-III,0.0426
Abell 1432,42.64,61.69,3,3,,0.1570
Abell 1433,31.74,89.41,0,6,II-III,
Abell 1434,293.87,42.46,2,3,II,0.2905
Abell 1435,143.34,62.82,0,,II,
Abell 1436,311.58,49.27,3,,I-II,0.2409
Abell 1437,251.80,-1.35,0,3,II,0.1780
Abell 1438,138.91,8.24,1,2,II-III,0.1965
Abell 1439,338.98,2.87,0,5,III,0.0442
Abell 1440,297.40,-13.08,3,6,I-II,0.1210
Abell 1441,77.32,86.71,0,5,I,0.3394
Abell 1442,243.59,74.94,3,6,II-III,
Abell 1443,120.07,27.11,2,3,I-II,0.0312
Abell 1444,8.56,75.77,1,4,I,0.1891
Abell 1445,254.09,76.84,0,4,II,0.1413
Abell 1446,343.40,27.50,1,5,I-II,0.1956
Abell 1447,253.11,-3.45,1,7,I,0.1504
Abell 1448,156.15,33.41,1,5,I-II,0.2014
Abell 1449,229.67,23.33,0,3,III,
Abell 1450,158.56,45.33,1,6,III,0.1762
Abell 1451,331.84,-17.54,0,5,,0.1283
Abell 1452,263.45,24.63,0,5,III,0.2561
Abell 1453,152.75,1.66,0,4,I-II,0.2199
Abell 1454,74.63,20.64,1,6,I,0.0464
Abell 1455,18.22,-13.93,1,6,I-II,
Abell 1456,54.76,38.43,0,4,I-II,0.2336
Abell 1457,76.45,69.33,1,1,I-II,0.1069
Abell 1458,29.23,26.47,0,6,I-II,0.1320
Abell 1459,143.06,30.34,0,5,I-II,
Abell 1460,122.38,11.68,1,6,III,0.0820
Abell 1461,125.79,69.21,0,7,I,0.3182
Abell 1462,292.60,-10.51,0,3,I-II,0.1255
Abell 1463,179.94,52.09,1,6,,0.1441
Abell 1464,56.00,-11.53,1,6,III,0.1013
Abell 1465,107.87,63.35,3,5,,0.1361
Abell 1466,240.10,4.56,1,5,I-II,0.2744
Abell 1467,24.16,57.68,0,7,I,0.1218
Abell 1468,192.24,2.06,0,4,I-II,0.0469
Abell 1469,200.10,74.84,2,2,I-II,0.0154
Abell 1470,139.60,21.23,1,2,II,0.2676
Abell 1471,241.04,33.67,1,6,I-II,0.1189
Abell 1472,295.50,-19.00,0,3,I-II,0.1359
Abell 1473,198.03,9.82,1,7,II-III,0.3313
Abell 1474,78.47,51.03,1,6,III,
Abell 1475,28.21,-20.14,0,7,III,0.1957
Abell 1476,249.93,5.25,0,5,I-II,0.0588
Abell 1477,29.89,1.07,0,4,,
Abell 1478,231.77,46.91,2,4,I-II,0.3475
Abell 1479,59.27,-14.21,2,6,III,0.2616
Abell 1480,325.09,24.26,1,5,I-II,0.1176
Abell 1481,223.11,-22.29,1,5,I,0.3132
Abell 1482,262.86,43.73,2,4,II,0.3349
Abell 1483,162.26,55.50,0,3,II-III,0.2540
Abell 1484,177.12,69.44,0,3,III,0.2619
Abell 1485,213.14,81.68,0,2,,0.0599
Abell 1486,147.45,-25.51,0,4,III,0.0623
Abell 1487,304.13,46.38,1,4,II-III,0.1989
Abell 1488,13.60,-13.09,0,4,III,0.3143
Abell 1489,148.83,44.63,3,6,I,0.1097
Abell 1490,180.95,12.82,0,4,II,0.2869
Abell 1491,85.55,-3.09,0,5,II,0.2326
Abell 1492,145.21,-23.89,1,2,,0.0431
Abell 1493,87.75,-20.34,1,5,,0.1962
Abell 1494,326.90,60.13,0,6,I-II,
Abell 1495,305.86,22.19,0,5,III,
Abell 1496,246.08,9.75,3,3,II-III,
Abell 1497,182.09,54.70,1,5,I,0.3341
Abell 1498,90.51,19.53,0,,II-III,
Abell 1499,202.66,73.96,1,7,III,
Abell 1500,282.17,36.42,0,2,I-II,0.0986
Abell 1501,277.34,5.74,2,6,II,0.3369
Abell 1502,283.56,10.17,0,6,II-III,0.2513
Abell 1503,70.73,69.02,0,7,II-III,0.0163
Abell 1504,215.96,79.36,1,3,I,0.1326
Abell 1505,99.17,-12.15,0,4,III,0.1632
Abell 1506,316.23,-10.92,1,,II,0.3446
Abell 1507,73.50,-4.89,2,3,II-III,
Abell 1508,108.70,-17.33,1,4,II-III,
Abell 1509,4.85,-22.77,0,4,II-III,
Abell 1510,281.96,17.15,0,7,I,0.3465
Abell 1511,207.09,-4.53,2,6,I,0.2277
Abell 1512,326.62,49.12,0,4,II,0.2021
Abell 1513,27.76,71.42,0,7,II-III,
Abell 1514,233.03,39.46,0,5,I,0.0759
Abell 1515,199.42,40.50,0,5,II-III,0.1460
Abell 1516,161.63,10.16,1,6,II-III,0.0311
Abell 1517,234.11,-15.19,1,4,II,
Abell 1518,122.02,56.36,1,3,I-II,0.1234
Abell 1519,267.68,6.47,0,,I,0.0560
Abell 1520,103.93,-4.56,0,4,I,0.1503
Abell 1521,304.23,27.10,2,3,,0.2461
Abell 1522,69.24,10.23,1,6,,0.0722
Abell 1523,139.14,-17.32,4,6,I-II,0.1448
Abell 1524,123.09,10.65,0,6,I-II,0.0213
Abell 1525,257.30,-22.05,2,4,III,0.3356
Abell 1526,46.67,72.25,1,6,I,
Abell 1527,144.65,0.39,1,4,I,0.1939
Abell 1528,43.01,88.82,0,7,II-III,0.2556
Abell 1529,236.09,77.24,0,4,II,0.1473
Abell 1530,339.75,30.81,2,5,II-III,0.0828
Abell 1531,0.06,6.46,0,,,
Abell 1532,82.61,-13.69,0,4,,0.0759
Abell 1533,40.42,29.96,0,4,II,
Abell 1534,176.90,40.96,0,5,I-II,
Abell 1535,97.73,-26.94,1,3,III,
Abell 1536,132.36,45.49,5,4,I,0.3431
Abell 1537,231.52,42.83,0,6,I,0.0120
Abell 1538,300.70,-8.44,0,4,II-III,0.2572
Abell 1539,170.78,65.34,2,7,I-II,
Abell 1540,235.30,81.24,0,5,III,0.2059
Abell 1541,35.62,30.78,1,5,I-II,0.0692
Abell 1542,228.07,71.80,0,4,III,0.2685
Abell 1543,69.04,66.14,4,5,I-II,0.2796
Abell 1544,161.46,19.42,1,4,II,0.1823
Abell 1545,291.49,-12.62,0,3,I-II,0.3359
Abell 1546,175.52,48.65,0,5,,0.2055
Abell 1547,152.13,68.42,1,,I,0.0668
Abell 1548,127.93,64.00,0,4,II-III,0.2822
Abell 1549,198.83,56.87,1,6,,
Abell 1550,68.59,0.72,1,2,,0.1095
Abell 1551,28.20,35.89,3,5,III,
Abell 1552,83.04,68.28,1,1,,0.0714
Abell 1553,344.37,-17.87,0,5,I-II,0.2390
Abell 1554,141.60,29.73,2,5,II-III,
Abell 1555,298.43,45.31,1,6,II-III,0.1149
Abell 1556,306.13,67.23,0,,I,0.3348
Abell 1557,222.32,2.69,3,4,II-III,0.0253
Abell 1558,43.50,10.96,0,4,,0.1647
Abell 1559,109.86,12.82,0,2,I,
Abell 1560,205.24,32.33,0,6,II-III,0.3385
Abell 1561,190.86,9.81,2,6,II,0.0315
Abell 1562,220.81,31.71,0,1,I-II,0.2142
Abell 1563,11.60,-4.49,1,3,,0.3336
Abell 1564,325.16,38.61,0,5,,0.3071
Abell 1565,289.35,30.47,1,2,I,0.0906
Abell 1566,217.29,36.78,1,7,I,0.2959
Abell 1567,202.93,38.89,1,5,I,0.1722
Abell 1568,322.49,38.31,1,6,III,0.0218
Abell 1569,188.35,16.63,0,5,III,0.0730
Abell 1570,191.42,-21.01,2,6,III,
Abell 1571,296.53,67.79,1,6,I-II,0.2075
Abell 1572,354.13,85.77,1,5,I,0.2420
Abell 1573,329.43,6.16,3,5,II-III,0.0866
Abell 1574,125.12,21.35,1,4,II,0.3355
Abell 1575,228.14,86.16,3,5,I-II,0.1535
Abell 1576,203.37,17.70,2,6,I-II,0.0650
Abell 1577,336.49,79.60,1,,II-III,0.1796
Abell 1578,353.72,66.85,0,5,III,0.2736
Abell 1579,126.63,52.28,5,6,II,0.1306
Abell 1580,65.45,17.52,1,7,III,0.0242
Abell 1581,318.66,67.62,1,6,III,0.1993
Abell 1582,62.58,64.23,0,6,III,
Abell 1583,165.52,-21.39,0,4,I,0.2812
Abell 1584,273.58,79.65,2,5,II,0.1891
Abell 1585,85.11,48.55,0,5,,0.1666
Abell 1586,15.77,18.92,0,6,II,0.2419
Abell 1587,243.80,-10.06,0,,I-II,0.1921
Abell 1588,349.14,45.45,1,5,II,
Abell 1589,176.97,50.58,1,4,I,0.1844
Abell 1590,359.51,59.54,1,2,II,0.2050
Abell 1591,219.75,11.51,0,5,II-III,0.1805
Abell 1592,216.96,83.33,0,,I,0.2184
Abell 1593,181.58,10.65,1,6,II,0.0646
Abell 1594,201.88,26.78,1,,II,0.1852
Abell 1595,182.61,44.20,2,5,II-III,0.3464
Abell 1596,258.70,81.29,2,4,II,0.1735
Abell 1597,144.26,35.62,1,3,III,0.1682
Abell 1598,65.95,-6.29,1,5,II,0.0315
Abell 1599,349.47,39.43,1,2,,0.2500
Abell 1600,287.25,60.44,0,5,III,0.2975
Abell 1601,125.74,53.67,4,3,II-III,
Abell 1602,66.40,55.22,0,5,I,0.0581
Abell 1603,237.35,52.75,1,4,II,0.2884
Abell 1604,31.45,71.48,1,4,I-II,0.2308
Abell 1605,52.73,49.92,1,3,,0.3171
Abell 1606,215.12,-19.94,0,5,I,0.0183
Abell 1607,23.35,9.01,1,2,III,0.1709
Abell 1608,140.20,55.96,0,3,II,
Abell 1609,173.43,-21.75,2,4,I,
Abell 1610,310.12,31.38,0,5,II,0.1341
Abell 1611,90.96,58.90,0,6,I-II,0.2608
Abell 1612,144.65,84.96,1,7,I,0.0383
Abell 1613,9.67,46.36,0,5,III,0.1197
Abell 1614,233.24,-2.64,3,5,I-II,0.0815
Abell 1615,311.02,75.99,1,6,I,0.1022
Abell 1616,84.79,77.11,0,3,,0.1318
Abell 1617,89.35,-17.99,0,4,I-II,0.2255
Abell 1618,17.31,58.71,0,5,I,0.2756
Abell 1619,86.29,89.59,2,4,II-III,0.3246
Abell 1620,116.57,52.27,0,5,,0.0376
Abell 1621,98.92,-3.46,1,3,II,0.2478
Abell 1622,293.54,-24.35,0,5,III,0.1975
Abell 1623,1.85,63.29,1,5,I,
Abell 1624,177.90,28.11,3,6,I,0.3337
Abell 1625,345.44,45.77,2,4,I,0.0681
Abell 1626,125.43,-22.55,0,4,I,0.1873
Abell 1627,90.12,71.88,0,5,II,
Abell 1628,184.60,83.11,5,4,I-II,0.3107
Abell 1629,359.97,-22.60,0,3,I,0.1246
Abell 1630,22.06,11.66,0,,II-III,0.1463
Abell 1631,193.22,-15.39,1,4,I-II,0.0464
Abell 1632,298.57,69.93,1,4,I-II,0.1945
Abell 1633,130.99,33.97,5,6,II,
Abell 1634,197.49,4.26,2,6,II-III,
Abell 1635,294.23,47.68,0,7,I,
Abell 1636,271.51,45.02,3,6,II,0.2568
Abell 1637,261.24,7.15,4,6,II,0.1206
Abell 1638,169.78,66.55,0,6,II,0.1177
Abell 1639,144.60,-8.96,1,2,,
Abell 1640,178.64,15.19,1,2,II,0.1222
Abell 1641,263.05,10.01,0,5,I-II,0.1587
Abell 1642,210.72,-1.85,1,6,II,0.1797
Abell 1643,231.89,18.80,1,6,III,0.2496
Abell 1644,194.30,-17.38,0,4,I-II,0.0474
Abell 1645,109.04,-16.91,0,2,III,0.0532
Abell 1646,154.97,74.59,2,7,II,0.2855
